TEAM_ID, OFF_RATING, DEF_RATING, NET_RATING, AST_PCT, AST_TOV, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, USG_PCT, PACE, PACE_PER40, POSS, PIE, HOME, TEAM_ID_O, OFF_RATING_O, DEF_RATING_O, NET_RATING_O, AST_PCT_O, AST_TOV_O, AST_RATIO_O, OREB_PCT_O, DREB_PCT_O, REB_PCT_O, TM_TOV_PCT_O, EFG_PCT_O, TS_PCT_O, USG_PCT_O ,PACE_O, PACE_PER40_O, POSS_O, PIE_O, HOME_O, LABEL
1610612759.0, 98.0, 104.9, -6.8, 0.474, 1.2, 13.4, 0.263, 0.688, 0.457, 14.7, 0.462, 0.494, 1.0, 102.5, 85.42, 102.0, 0.44, 0.0, 1610612737.0, 104.9, 98.0, 6.8, 0.512, 1.22, 16.1, 0.313, 0.737, 0.543, 17.5, 0.539, 0.556, 1.0, 102.5, 85.42, 103.0, 0.56, 1.0, 2
1610612748.0, 109.3, 100.0, 9.3, 0.725, 2.07, 21.4, 0.255, 0.614, 0.452, 14.4, 0.56, 0.574, 1.0, 97.0, 80.83, 97.0, 0.582, 0.0, 1610612737.0, 100.0, 109.3, -9.3, 0.556, 1.25, 14.8, 0.386, 0.745, 0.548, 16.5, 0.449, 0.488, 1.0, 97.0, 80.83, 97.0, 0.418, 1.0, 1
1610612748.0, 106.7, 93.3, 13.4, 0.576, 0.68, 13.6, 0.4, 0.765, 0.594, 26.7, 0.541, 0.603, 1.0, 104.5, 87.08, 105.0, 0.564, 0.0, 1610612737.0, 93.3, 106.7, -13.4, 0.8, 1.4, 19.8, 0.235, 0.6, 0.406, 19.2, 0.488, 0.518, 1.0, 104.5, 87.08, 104.0, 0.436, 1.0, 1
1610612755.0, 99.1, 97.2, 1.9, 0.595, 1.0, 15.4, 0.296, 0.717, 0.505, 20.8, 0.483, 0.53, 1.0, 106.0, 88.33, 106.0, 0.513, 0.0, 1610612737.0, 97.2, 99.1, -1.9, 0.639, 1.1, 16.2, 0.283, 0.704, 0.495, 19.8, 0.482, 0.525, 1.0, 106.0, 88.33, 106.0, 0.487, 1.0, 1
1610612753.0, 98.0, 101.0, -3.0, 0.429, 1.5, 11.1, 0.323, 0.767, 0.5, 9.9, 0.379, 0.448, 1.0, 101.5, 84.58, 101.0, 0.444, 0.0, 1610612737.0, 101.0, 98.0, 3.0, 0.512, 1.22, 16.8, 0.233, 0.677, 0.5, 17.6, 0.565, 0.568, 1.0, 101.5, 84.58, 102.0, 0.556, 1.0, 2
1610612765.0, 104.2, 119.4, -15.2, 0.571, 1.43, 15.5, 0.255, 0.727, 0.474, 14.6, 0.471, 0.528, 1.0, 97.0, 80.83, 96.0, 0.393, 0.0, 1610612737.0, 119.4, 104.2, 15.2, 0.614, 2.08, 20.0, 0.273, 0.745, 0.526, 13.3, 0.576, 0.614, 1.0, 97.0, 80.83, 98.0, 0.607, 1.0, 2
1610612747.0, 105.9, 137.6, -31.7, 0.564, 1.47, 15.9, 0.308, 0.587, 0.439, 14.9, 0.478, 0.526, 1.0, 101.0, 84.17, 101.0, 0.352, 0.0, 1610612738.0, 137.6, 105.9, 31.7, 0.596, 2.58, 20.8, 0.413, 0.692, 0.561, 11.9, 0.645, 0.657, 1.0, 101.0, 84.17, 101.0, 0.648, 1.0, 2
1610612756.0, 115.0, 111.2, 3.7, 0.643, 1.8, 18.7, 0.265, 0.8, 0.548, 14.0, 0.545, 0.602, 1.0, 107.0, 89.17, 107.0, 0.541, 0.0, 1610612738.0, 111.2, 115.0, -3.7, 0.619, 2.36, 18.2, 0.2, 0.735, 0.452, 10.3, 0.516, 0.563, 1.0, 107.0, 89.17, 107.0, 0.459, 1.0, 1
1610612749.0, 121.9, 116.0, 5.9, 0.488, 2.1, 15.6, 0.18, 0.793, 0.509, 9.5, 0.586, 0.62, 1.0, 105.5, 87.92, 105.0, 0.562, 0.0, 1610612738.0, 116.0, 121.9, -5.9, 0.372, 2.0, 12.0, 0.207, 0.82, 0.491, 7.5, 0.515, 0.56, 1.0, 105.5, 87.92, 106.0, 0.438, 1.0, 1
1610612765.0, 120.8, 107.3, 13.5, 0.638, 2.31, 23.2, 0.105, 0.723, 0.447, 13.5, 0.679, 0.672, 1.0, 96.0, 80.0, 96.0, 0.571, 0.0, 1610612738.0, 107.3, 120.8, -13.5, 0.512, 1.4, 16.4, 0.277, 0.895, 0.553, 15.6, 0.548, 0.561, 1.0, 96.0, 80.0, 96.0, 0.429, 1.0, 1
