'TEAM_ID', 'FGA', 'FG_PCT', 'FG3A', 'FG3_PCT', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'AST', 'STL', 'BLK', 'TO', 'PF', 'PTS', 'HOME', 'TEAM_ID_O', 'FGA_O', 'FG_PCT_O', 'FG3A_O', 'FG3_PCT_O', 'FTA_O', 'FT_PCT_O', 'OREB_O', 'DREB_O', 'AST_O', 'STL_O', 'BLK_O', 'TO_O', 'PF_O', 'PTS_O', 'HOME_O'
1610612751.0, 81.0, 0.519, 9.0, 0.556, 27.0, 0.815, 10.0, 20.0, 33.0, 9.0, 7.0, 11.0, 23.0, 111.0, 0.0, 1610612738.0, 71.0, 0.521, 18.0, 0.5, 35.0, 0.829, 10.0, 21.0, 27.0, 10.0, 5.0, 18.0, 25.0, 112.0, 1.0, 2
1610612765.0, 68.0, 0.529, 9.0, 0.556, 33.0, 0.727, 8.0, 37.0, 22.0, 3.0, 8.0, 29.0, 31.0, 101.0, 0.0, 1610612738.0, 85.0, 0.388, 21.0, 0.19, 31.0, 0.839, 10.0, 24.0, 18.0, 12.0, 1.0, 16.0, 30.0, 96.0, 1.0, 1
1610612749.0, 71.0, 0.493, 10.0, 0.5, 33.0, 0.879, 7.0, 35.0, 19.0, 6.0, 8.0, 17.0, 28.0, 104.0, 0.0, 1610612738.0, 84.0, 0.405, 18.0, 0.389, 34.0, 0.706, 11.0, 22.0, 24.0, 12.0, 4.0, 11.0, 31.0, 99.0, 1.0, 1
1610612752.0, 76.0, 0.461, 17.0, 0.412, 9.0, 1.0, 6.0, 38.0, 22.0, 6.0, 3.0, 17.0, 29.0, 86.0, 0.0, 1610612738.0, 72.0, 0.417, 13.0, 0.308, 41.0, 0.683, 9.0, 30.0, 15.0, 7.0, 6.0, 8.0, 17.0, 92.0, 1.0, 2
1610612751.0, 73.0, 0.356, 16.0, 0.125, 42.0, 0.762, 7.0, 33.0, 19.0, 3.0, 6.0, 14.0, 33.0, 86.0, 0.0, 1610612738.0, 79.0, 0.392, 17.0, 0.294, 43.0, 0.744, 14.0, 41.0, 22.0, 7.0, 6.0, 15.0, 30.0, 99.0, 1.0, 2
1610612742.0, 74.0, 0.514, 16.0, 0.438, 26.0, 0.885, 8.0, 24.0, 26.0, 8.0, 5.0, 12.0, 21.0, 106.0, 0.0, 1610612738.0, 81.0, 0.444, 18.0, 0.278, 25.0, 0.84, 16.0, 28.0, 24.0, 9.0, 4.0, 12.0, 24.0, 98.0, 1.0, 1
1610612766.0, 70.0, 0.543, 11.0, 0.545, 24.0, 0.708, 7.0, 34.0, 33.0, 7.0, 6.0, 17.0, 21.0, 99.0, 0.0, 1610612738.0, 77.0, 0.429, 18.0, 0.222, 24.0, 0.708, 10.0, 24.0, 20.0, 12.0, 2.0, 16.0, 22.0, 87.0, 1.0, 1
1610612758.0, 84.0, 0.44, 17.0, 0.294, 31.0, 0.806, 15.0, 34.0, 21.0, 9.0, 4.0, 8.0, 15.0, 104.0, 0.0, 1610612738.0, 91.0, 0.385, 20.0, 0.2, 9.0, 0.778, 14.0, 33.0, 20.0, 5.0, 1.0, 15.0, 23.0, 81.0, 1.0, 1
1610612741.0, 74.0, 0.486, 11.0, 0.545, 35.0, 0.743, 12.0, 23.0, 22.0, 16.0, 3.0, 18.0, 23.0, 104.0, 0.0, 1610612738.0, 66.0, 0.439, 14.0, 0.214, 29.0, 0.862, 9.0, 27.0, 17.0, 10.0, 3.0, 26.0, 30.0, 86.0, 1.0, 1
1610612743.0, 88.0, 0.386, 20.0, 0.3, 35.0, 0.8, 12.0, 47.0, 22.0, 5.0, 5.0, 18.0, 33.0, 102.0, 0.0, 1610612738.0, 90.0, 0.378, 18.0, 0.333, 41.0, 0.732, 13.0, 37.0, 21.0, 11.0, 6.0, 17.0, 33.0, 104.0, 1.0, 2
1610612754.0, 79.0, 0.481, 14.0, 0.357, 28.0, 0.821, 12.0, 30.0, 24.0, 13.0, 5.0, 13.0, 14.0, 104.0, 0.0, 1610612738.0, 78.0, 0.449, 19.0, 0.526, 15.0, 0.733, 12.0, 30.0, 25.0, 7.0, 4.0, 21.0, 27.0, 91.0, 1.0, 1
1610612753.0, 81.0, 0.519, 9.0, 0.333, 20.0, 0.7, 14.0, 20.0, 25.0, 6.0, 2.0, 9.0, 24.0, 101.0, 0.0, 1610612738.0, 69.0, 0.507, 24.0, 0.417, 26.0, 0.692, 10.0, 25.0, 27.0, 4.0, 3.0, 17.0, 27.0, 98.0, 1.0, 1
1610612746.0, 80.0, 0.375, 10.0, 0.2, 35.0, 0.714, 15.0, 36.0, 16.0, 8.0, 6.0, 19.0, 25.0, 87.0, 0.0, 1610612738.0, 79.0, 0.43, 15.0, 0.333, 29.0, 0.793, 7.0, 35.0, 17.0, 8.0, 8.0, 16.0, 26.0, 96.0, 1.0, 2
